icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
LKPD,Pardubice Airport,large_airport,CZ,CZ-PA,Pardubice,50.015049,15.73981
LKPR,Václav Havel Airport Prague,large_airport,CZ,CZ-PR,Prague,50.100874,14.259911
LKTB,Brno-Tuřany Airport,medium_airport,CZ,CZ-JM,Brno,49.151276,16.693972
LKVO,Vodochody Airport,medium_airport,CZ,CZ-ST,Vodochody,50.216599,14.3958
LKVY,Letiště Vyškov,small_airport,CZ,CZ-JM,Vyskov,49.300301,17.025299
LMML,Malta International Airport,large_airport,MT,MT-25,Valletta,35.845932,14.491546
LOAN,Wiener Neustadt East Airport,medium_airport,AT,AT-3,Wiener Neustadt,47.8433,16.260099
LOLO,Linz-East Glider Field,small_airport,AT,AT-4,Linz,48.300044,14.333606
LOLT,Flugplatz Seitenstetten,small_airport,AT,AT-3,Seitenstetten,48.050556,14.661944
LOWG,Graz Airport,large_airport,AT,AT-6,Feldkirchen bei Graz,46.9911,15.4396
LOWI,Innsbruck Airport,large_airport,AT,AT-7,Innsbruck,47.260201,11.344
LOWK,Klagenfurt Airport,large_airport,AT,AT-2,Klagenfurt am Wörthersee,46.642502,14.3377
LOWL,Linz-Hörsching Airport,large_airport,AT,AT-4,Linz,48.235362,14.188128
LOWS,Salzburg Airport,large_airport,AT,AT-5,Salzburg,47.793301,13.0043
LOWW,Vienna International Airport,large_airport,AT,AT-9,Vienna,48.110298,16.5697
LOXN,Wiener Neustadt West Airport,medium_airport,AT,AT-3,Wiener Neustadt,47.836933,16.221838
LPAZ,Santa Maria Airport,medium_airport,PT,PT-20,Vila do Porto,36.97140121459961,-25.17060089111328
LPBG,Bragança Airport,medium_airport,PT,PT-04,Bragança,41.8578,-6.70713
LPBJ,Beja Airport / Airbase,medium_airport,PT,PT-02,Beja,38.078899,-7.9324
LPBR,Braga Municipal Aerodrome,medium_airport,PT,PT-03,Braga,41.587,-8.445189
LPCB,Aerodromo de Castelo Branco,medium_airport,PT,PT-05,Castelo Branco,39.844528,-7.439875
LPCH,Aerodromo de Chaves,small_airport,PT,PT-17,Chaves,41.722356,-7.463064
LPCO,Aerodromo Municipal de Coimbra,medium_airport,PT,PT-06,Coimbra,40.158758,-8.470815
LPCR,Corvo Airport,small_airport,PT,PT-20,Corvo,39.671501,-31.1136
LPCS,Cascais Airport,medium_airport,PT,PT-11,Cascais,38.724998,-9.35523
LPFL,Flores Airport,medium_airport,PT,PT-20,Santa Cruz das Flores,39.455299377441406,-31.13139915466309
LPFR,Faro - Gago Coutinho International Airport,large_airport,PT,PT-08,Faro,37.015909,-7.970939
LPGR,Graciosa Airport,medium_airport,PT,PT-20,Santa Cruz da Graciosa,39.09220123291016,-28.029800415039062
LPHR,Horta Airport,medium_airport,PT,PT-20,Horta,38.519901275634766,-28.715900421142575
LPJF,Aerodromo de Leiria,small_airport,PT,PT-10,Leiria,39.779907,-8.820238
LPLA,Lajes Airport,medium_airport,PT,PT-20,Praia da Vitória,38.761799,-27.090799
LPMA,Cristiano Ronaldo International Airport,large_airport,PT,PT-30,Funchal,32.697812,-16.774613
LPPD,João Paulo II Airport,large_airport,PT,PT-20,Ponta Delgada,37.7411994934,-25.6979007721
LPPI,Pico Airport,medium_airport,PT,PT-20,Pico Island,38.554298,-28.441299
LPPM,Portimão Airport,medium_airport,PT,PT-08,Portimão,37.1493,-8.58396
LPPR,Francisco de Sá Carneiro Airport,large_airport,PT,PT-13,Porto,41.2481002808,-8.68138980865
LPPS,Porto Santo Airport,medium_airport,PT,PT-30,Vila Baleira,33.0733985901,-16.3500003815
LPPT,Lisbon Humberto Delgado Airport,large_airport,PT,PT-11,Lisbon,38.7813,-9.13592
LPSJ,São Jorge Airport,medium_airport,PT,PT-20,Velas,38.665501,-28.1758
LPSO,Aeródromo Municipal de Ponte de Sor,medium_airport,PT,PT-12,Ponte de Sor,39.211545,-8.057787
LPVR,Vila Real Airport,medium_airport,PT,PT-17,Vila Real,41.2743,-7.72047
LPVZ,Aerodromo Goncalves Lobato (Viseu Airport),medium_airport,PT,PT-18,Viseu,40.725498,-7.88899
