nut3_code,pps,pps_per_inhabitant
FRK23,19650.68,37400.0
FRK24,49735.57,37900.0
FRK25,23828.21,30700.0
FRK26,102547.88,53100.0
FRK27,19711.82,43500.0
FRK28,31231.36,35900.0
FRL,200660.61,38500.0
FRL0,200660.61,38500.0
FRL01,4983.06,29600.0
FRL02,4665.05,32900.0
FRL03,47736.35,42500.0
FRL04,88549.7,42500.0
FRL05,35143.17,31300.0
FRL06,19583.29,34300.0
FRM,12298.73,34500.0
FRM0,12298.73,34500.0
FRM01,6471.75,38500.0
FRM02,5826.98,30900.0
FRY,51417.15,23000.0
FRY1,10936.45,26800.0
FRY10,10936.45,26800.0
FRY2,9649.12,27500.0
FRY20,9649.12,27500.0
FRY3,4827.83,16300.0
FRY30,4827.83,16300.0
FRY4,22517.95,25400.0
FRY40,22517.95,25400.0
FRY5,3485.8,12000.0
FRY50,3485.8,12000.0
FRZ,972.54,
FRZZ,972.54,
FRZZZ,972.54,
HR,120159.11,31100.0
HR0,120159.11,31100.0
HR02,20715.29,21100.0
HR021,2052.57,20900.0
HR022,1134.04,16900.0
HR023,1019.28,16800.0
HR024,2483.75,19700.0
HR025,5795.4,23200.0
HR026,2588.84,18900.0
HR027,2494.59,22800.0
HR028,3146.81,23500.0
HR03,38575.51,29200.0
HR031,9354.4,35200.0
HR032,1134.3,26300.0
HR033,4188.65,25300.0
HR034,2303.08,24000.0
HR035,10915.05,25400.0
HR036,7108.61,34800.0
HR037,3571.41,30700.0
HR05,40726.78,52500.0
HR050,40726.78,52500.0
HR06,20141.53,25500.0
HR061,2637.55,25200.0
HR062,4176.83,26300.0
HR063,2528.38,25500.0
HR064,2370.05,19900.0
HR065,8428.71,27200.0
HU,290957.25,30400.0
HU1,147414.21,48800.0
HU11,113254.48,67200.0
HU110,113254.48,67200.0
HU12,34159.73,25600.0
HU120,34159.73,25600.0
HU2,70489.12,24500.0
HU21,27643.31,26200.0
HU211,11183.51,26700.0
HU212,8733.55,29100.0
HU213,7726.25,23100.0
HU22,25865.57,26400.0
HU221,14534.85,30800.0
HU222,5989.32,24300.0
HU223,5341.39,20600.0
HU23,16980.24,20000.0
HU231,7187.48,20400.0
HU232,5324.5,18300.0
HU233,4468.26,21700.0
HU3,73053.92,20000.0
HU31,20351.47,18900.0
HU311,11724.48,19100.0
HU312,6128.35,21600.0
HU313,2498.64,13900.0
HU32,27798.27,19900.0
HU321,11787.57,22700.0
HU322,6807.28,19400.0
HU323,9203.41,17600.0
HU33,24904.18,21000.0
HU331,10943.98,22300.0
HU332,5379.18,17400.0
HU333,8581.02,22100.0
HUZ,0.0,
HUZZ,0.0,
HUZZZ,0.0,
IE,476447.61,88500.0
IE0,476447.61,88500.0
IE04,38038.91,40000.0
IE041,12140.4,27600.0
IE042,25898.51,50700.0
IE05,154349.77,86500.0
IE051,29445.7,55200.0
IE052,18277.51,38300.0
IE053,106626.56,138000.0
IE06,284058.92,107200.0
IE061,236871.4,154300.0
IE062,35947.79,45800.0
IE063,11239.73,34000.0
IT,2300845.08,39000.0
ITC,767471.11,48200.0
ITC1,171719.88,40400.0
ITC2,6121.47,49900.0
ITC3,61672.2,40900.0
ITC4,527957.44,52700.0
ITF,351308.79,26200.0
ITF1,42636.36,33600.0
ITF2,8354.25,29000.0
ITF3,143839.19,25700.0
ITF4,98857.11,25500.0
ITF5,15777.61,29700.0
ITF6,41844.39,22800.0
ITG,162653.13,25600.0
ITG1,117185.24,24500.0
ITG2,45467.89,29000.0
ITH,528635.42,45600.0
ITH1,34601.85,64200.0
ITH2,27254.8,49900.0
ITH3,210506.99,43400.0
ITH4,48746.48,40800.0
ITH5,207525.31,46600.0
ITI,489781.14,41800.0
ITI1,150170.03,41000.0
ITI2,28947.11,34000.0
ITI3,52834.13,35700.0
ITI4,257829.75,45100.0
ITZ,995.61,
ITZZ,995.61,
ITZZZ,995.61,
LT,100904.34,34900.0
LT0,100904.34,34900.0
LT01,46205.82,53000.0
LT011,46205.82,53000.0
LT02,54698.52,27100.0
LT021,2563.92,19200.0
LT022,20253.33,34500.0
LT023,10361.07,30300.0
LT024,2674.98,20000.0
LT025,4913.05,23600.0
LT026,6570.6,24600.0
LT027,1844.03,20400.0
LT028,3129.34,24000.0
LT029,2388.2,19200.0
LU,66276.72,97700.0
LU0,66276.72,97700.0
LU00,66276.72,97700.0
LU000,66276.72,97700.0
LV,50982.56,27300.0
LV0,50904.9,27300.0
LV00,50904.9,27300.0
LVZ,77.66,
LVZZ,77.66,
LVZZZ,77.66,
ME,13321.57,21400.0
ME0,13321.57,21400.0
ME00,13321.57,21400.0
ME000,13321.57,21400.0
MK,30890.31,16900.0
MK0,30890.31,16900.0
MK00,30890.31,16900.0
MK001,1887.75,13800.0
MK002,2224.83,15100.0
MK003,2546.18,14500.0
MK004,2828.15,19300.0
MK005,3427.3,16600.0
MK006,2310.26,9200.0
MK007,1383.83,9100.0
MK008,14282.0,23500.0
MT,24985.34,43900.0
MT0,24952.92,43800.0
