icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
EERD,Riidaja Airfield,small_airport,EE,EE-82,Riidaja,58.08457,25.89877
EERI,Ridali Airfield,small_airport,EE,EE-65,Suurküla,57.939999,26.979
EERU,Ruhnu Airfield,small_airport,EE,EE-74,Ringsu,57.78559,23.262377
EETN,Lennart Meri Tallinn Airport,large_airport,EE,EE-37,Tallinn,59.413246,24.83264
EETU,Tartu Airport,medium_airport,EE,EE-7B,Tartu,58.307438,26.686473
EEVI,Viljandi Airfield,small_airport,EE,EE-84,Viljandi,58.348374,25.494831
EEVO,Vormsi Airfield,small_airport,EE,EE-57,Vormsi Island,58.985169,23.252056
EEVU,Varstu Airfield,small_airport,EE,EE-86,Varstu,57.63288,26.671085
EFET,Enontekio Airport,medium_airport,FI,FI-10,Enontekio,68.362602233887,23.424299240112
EFHA,Halli Airport,medium_airport,FI,FI-08,Jämsä,61.856039,24.786686
EFHK,Helsinki Vantaa Airport,large_airport,FI,FI-18,Helsinki (Vantaa),60.318363,24.963341
EFHV,Hyvinkää Airfield,small_airport,FI,FI-18,Hyvinkää,60.6544,24.8811
EFIT,Kitee Airport,medium_airport,FI,FI-13,Kitee,62.1661,30.073601
EFIV,Ivalo Airport,large_airport,FI,FI-10,Ivalo,68.6073,27.4053
EFJO,Joensuu Airport,medium_airport,FI,FI-13,Joensuu,62.658815,29.619398
EFJY,Jyväskylä Airport,medium_airport,FI,FI-08,Jyväskylän Maalaiskunta,62.399502,25.678301
EFKA,Kauhava Airfield,medium_airport,FI,FI-03,Kauhava,63.127102,23.051399
EFKE,Kemi-Tornio Airport,medium_airport,FI,FI-10,Kemi / Tornio,65.778701782227,24.582099914551
EFKI,Kajaani Airport,medium_airport,FI,FI-05,Kajaani,64.2855,27.6924
EFKJ,Kauhajoki Airfield,medium_airport,FI,FI-03,Kauhajoki,62.463212,22.390817
EFKK,Kokkola-Pietarsaari Airport,medium_airport,FI,FI-07,Kokkola / Kruunupyy,63.721199,23.143101
EFKS,Kuusamo Airport,medium_airport,FI,FI-14,Kuusamo,65.987602,29.239401
EFKT,Kittilä International Airport,large_airport,FI,FI-10,Kittilä,67.700996,24.8468
EFKU,Kuopio Airport,large_airport,FI,FI-15,Kuopio / Siilinjärvi,63.007099,27.7978
EFLP,Lappeenranta Airport,large_airport,FI,FI-02,Lappeenranta,61.044601,28.144743
EFMA,Mariehamn Airport,large_airport,FI,FI-01,Mariehamn,60.1222,19.898199
EFMI,Mikkeli Airport,medium_airport,FI,FI-04,Mikkeli,61.6866,27.201799
EFOU,Oulu Airport,large_airport,FI,FI-14,Oulu / Oulunsalo,64.930099,25.354601
EFPO,Pori Airport,medium_airport,FI,FI-17,Pori,61.4617,21.799999
EFRO,Rovaniemi Airport,large_airport,FI,FI-10,Rovaniemi,66.563327,25.829751
EFSA,Savonlinna Airport,medium_airport,FI,FI-04,Savonlinna,61.9431,28.945101
EFSI,Seinäjoki Airport,medium_airport,FI,FI-03,Seinäjoki / Ilmajoki,62.692101,22.8323
EFSO,Sodankyla Airport,medium_airport,FI,FI-10,Sodankyla,67.3949966431,26.6191005707
EFTP,Tampere-Pirkkala Airport,large_airport,FI,FI-11,Tampere / Pirkkala,61.414101,23.604401
EFTU,Turku Airport,large_airport,FI,FI-19,Turku,60.514099,22.2628
EFUT,Utti Air Base,medium_airport,FI,FI-09,Utti / Valkeala,60.8964,26.9384
EFVA,Vaasa Airport,large_airport,FI,FI-12,Vaasa,63.05023,21.762543
EFVR,Varkaus Airport,medium_airport,FI,FI-04,Varkaus / Joroinen,62.171101,27.868601
EFYL,Ylivieska Airfield,medium_airport,FI,FI-14,Ylivieska,64.054722,24.725278
EGAA,Belfast International Airport,large_airport,GB,GB-NIR,Belfast,54.6575012207,-6.2158298492399995
EGAB,Enniskillen/St Angelo Airport,medium_airport,GB,GB-NIR,"Enniskillen, Fermanagh and Omagh",54.398274,-7.651179
EGAC,George Best Belfast City Airport,medium_airport,GB,GB-NIR,Belfast,54.618099,-5.8725
EGAD,Newtownards Airport,small_airport,GB,GB-NIR,"Newtownards, Ards and North Down",54.5811,-5.69194
EGAE,City of Derry Airport,medium_airport,GB,GB-NIR,"Derry, Derry and Strabane",55.042801,-7.16111
EGBB,Birmingham Airport,large_airport,GB,GB-ENG,"Birmingham, West Midlands",52.453899,-1.74803
EGBD,Derby Airfield,small_airport,GB,GB-ENG,"Derby, Derbyshire",52.859699,-1.6175
EGBE,Coventry Airport,medium_airport,GB,GB-ENG,"Coventry, West Midlands",52.369701,-1.47972
EGBF,Bedford Aerodrome,small_airport,GB,GB-ENG,"Bedford, Bedford",52.23071,-0.463825
EGBG,Leicester Airport,small_airport,GB,GB-ENG,"Leicester, Leicestershire",52.606574,-1.030226
EGBJ,Gloucestershire Airport,medium_airport,GB,GB-ENG,"Staverton, Gloucestershire",51.894199,-2.16722
EGBK,Sywell Aerodrome,small_airport,GB,GB-ENG,"Northampton, Northamptonshire",52.305302,-0.793056
EGBM,Tatenhill Airfield,small_airport,GB,GB-ENG,"Burton upon Trent, Staffordshire",52.81431,-1.767942
EGBN,Nottingham City Airport,medium_airport,GB,GB-ENG,"Nottingham, Nottinghamshire",52.919998,-1.07917
EGBO,Wolverhampton Halfpenny Green Airport,small_airport,GB,GB-ENG,"Wolverhampton, Staffordshire",52.517502,-2.25944
EGBP,Cotswold Airport,small_airport,GB,GB-ENG,"Cirencester, Gloucestershire",51.668528,-2.056599
EGBT,Turweston Aerodrome,small_airport,GB,GB-ENG,Turweston,52.040798,-1.09556
EGCC,Manchester Airport,large_airport,GB,GB-ENG,"Manchester, Greater Manchester",53.349375,-2.279521
EGCG,Strubby Airfield,small_airport,GB,GB-ENG,"Alford, Lincolnshire",53.310956,0.173017
EGCJ,Sherburn-in-Elmet Airfield,small_airport,GB,GB-ENG,"Selby, North Yorkshire",53.788458,-1.216877
EGCS,Sturgate Airfield,small_airport,GB,GB-ENG,"Gainsborough, Lincolnshire",53.381242,-0.6848
EGDJ,Upavon Aerodrome,small_airport,GB,GB-ENG,"Pewsey, Wiltshire",51.28657,-1.782239
EGDY,RNAS Yeovilton,medium_airport,GB,GB-ENG,"Yeovil, Somerset",51.009399,-2.63882
EGEC,Campbeltown Airport,medium_airport,GB,GB-SCT,Campbeltown,55.437199,-5.68639
EGED,Eday Airport,medium_airport,GB,GB-SCT,Eday,59.19060134887695,-2.7722198963165283
EGEF,Fair Isle Airport,small_airport,GB,GB-SCT,Fair Isle,59.534721,-1.628509
EGEH,Whalsay Airstrip,small_airport,GB,GB-SCT,"Whalsay, Shetlands",60.376835,-0.927229
EGEI,Broadford Airstrip,small_airport,GB,GB-SCT,"Ashaig, Highland",57.253131,-5.827755
EGEN,North Ronaldsay Airport,small_airport,GB,GB-SCT,North Ronaldsay,59.3675003052,-2.43443989754
EGEO,Oban Airport,small_airport,GB,GB-SCT,North Connel,56.463501,-5.39967
EGEP,Papa Westray Airport,small_airport,GB,GB-SCT,"Papa Westray, Orkney Islands",59.351012,-2.900353
EGER,Stronsay Airport,small_airport,GB,GB-SCT,Stronsay,59.1553,-2.64139
EGES,Sanday Airport,small_airport,GB,GB-SCT,Sanday,59.250301,-2.57667
EGET,Lerwick / Tingwall Airport,small_airport,GB,GB-SCT,"Lerwick, Shetland Islands",60.1922,-1.24361
EGEW,Westray Airport,small_airport,GB,GB-SCT,"Westray, Orkney Islands",59.350475,-2.950062
EGFE,Haverfordwest Airport,medium_airport,GB,GB-WLS,Haverfordwest,51.833099365234375,-4.9611101150512695
EGFF,Cardiff International Airport,large_airport,GB,GB-WLS,Cardiff,51.396702,-3.34333
EGFH,Swansea Airport,medium_airport,GB,GB-WLS,Swansea,51.601366,-4.071006
EGGD,Bristol Airport,large_airport,GB,GB-ENG,Bristol,51.382326,-2.716453
EGGP,Liverpool John Lennon Airport,large_airport,GB,GB-ENG,Liverpool,53.334863,-2.849637
EGGW,London Luton Airport,large_airport,GB,GB-ENG,"Luton, Luton",51.874699,-0.368333
EGHC,Land's End Airport,small_airport,GB,GB-ENG,"Land's End, Cornwall",50.102798,-5.67056
EGHE,St. Mary's Airport,small_airport,GB,GB-ENG,"St. Mary's, Isles of Scilly",49.913375,-6.291894
EGHH,Bournemouth Airport,medium_airport,GB,GB-ENG,Bournemouth,50.780483,-1.839576
EGHI,Southampton Airport,medium_airport,GB,GB-ENG,Southampton,50.950298,-1.3568
EGHJ,Bembridge Airport,small_airport,GB,GB-ENG,"Bembridge, Isle of Wight",50.678101,-1.10944
EGHL,Lasham Airfield,medium_airport,GB,GB-ENG,"Alton, Hampshire",51.18744,-1.031663
EGHQ,Cornwall Airport Newquay,medium_airport,GB,GB-ENG,Newquay,50.440601,-4.99541
EGHR,Goodwood Aerodrome,small_airport,GB,GB-ENG,"Chichester, West Sussex",50.859832,-0.760073
EGKA,Brighton City Airport,medium_airport,GB,GB-ENG,"Brighton, East Sussex",50.835602,-0.297222
EGKB,London Biggin Hill Airport,medium_airport,GB,GB-ENG,London,51.33079910279999,0.0324999988079
EGKK,London Gatwick Airport,large_airport,GB,GB-ENG,London,51.148744,-0.185739
EGKR,Redhill Aerodrome,small_airport,GB,GB-ENG,"Redhill, Surrey",51.2136,-0.138611
EGLC,London City Airport,medium_airport,GB,GB-ENG,London,51.505299,0.055278
EGLF,Farnborough Airport,medium_airport,GB,GB-ENG,"Farnborough, Hampshire",51.275799,-0.776333
EGLK,Blackbushe Airport,medium_airport,GB,GB-ENG,"Camberley, Surrey",51.323898,-0.8475
EGLL,London Heathrow Airport,large_airport,GB,GB-ENG,London,51.470748,-0.459909
EGMA,Fowlmere Airfield,small_airport,GB,GB-ENG,"Fowlmere, Cambridgeshire",52.077499,0.061667
EGMC,London Southend Airport,medium_airport,GB,GB-ENG,"Southend-on-Sea, Essex",51.570562,0.693627
EGMD,Lydd London Ashford Airport,medium_airport,GB,GB-ENG,"Romney Marsh, Kent",50.956246,0.939074
EGMF,Farthing Corner / Stoneacre Farm Airfield,small_airport,GB,GB-ENG,"Sittingbourne, Kent",51.332788,0.601058
EGMJ,Little Gransden Airfield,small_airport,GB,GB-ENG,"Gamlingay, Cambridgeshire",52.165977,-0.149222
EGML,Damyns Hall Aerodrome,small_airport,GB,GB-ENG,"Upminster, Greater London",51.527561,0.244189
EGMT,Thurrock Airfield,small_airport,GB,GB-ENG,"Orsett, Essex",51.537505,0.367634
EGNC,Carlisle Lake District Airport,medium_airport,GB,GB-ENG,"Carlisle, Cumbria",54.9375,-2.80917
EGNE,Retford Gamston Airport,small_airport,GB,GB-ENG,"Retford, Nottinghamshire",53.280602,-0.951389
EGNF,Netherthorpe Airfield,small_airport,GB,GB-ENG,"Worksop, Nottinghamshire",53.317182,-1.195573
EGNH,Blackpool Airport,medium_airport,GB,GB-ENG,Blackpool,53.771702,-3.02861
EGNJ,Humberside Airport,medium_airport,GB,GB-ENG,"Grimsby, Lincolnshire",53.576152,-0.34954
EGNL,Barrow Walney Island Airport,medium_airport,GB,GB-ENG,Barrow-in-Furness,54.1286111,-3.2675
EGNM,Leeds Bradford Airport,large_airport,GB,GB-ENG,"Leeds, West Yorkshire",53.865898,-1.66057
EGNO,Warton Aerodrome,medium_airport,GB,GB-ENG,Warton,53.745098,-2.88306
EGNR,Hawarden Airport,medium_airport,GB,GB-WLS,Broughton,53.178101,-2.97778
EGNT,Newcastle International Airport,large_airport,GB,GB-ENG,"Newcastle upon Tyne, Tyne and Wear",55.037958,-1.689577
EGNV,Teesside International Airport,medium_airport,GB,GB-ENG,"Darlington, Durham",54.509201,-1.42941
EGNW,Wickenby Aerodrome,small_airport,GB,GB-ENG,"Lincoln, Lincolnshire",53.3167,-0.349722
EGNX,East Midlands Airport,large_airport,GB,GB-ENG,"Nottingham, Leicestershire",52.8311,-1.32806
EGOS,RAF Shawbury,medium_airport,GB,GB-ENG,"Shrewsbury, Shropshire",52.798199,-2.66804
EGOV,Anglesey Airport,medium_airport,GB,GB-WLS,Angelsey,53.2481,-4.53534
