from_id,to_id,weight,distance
"Barcelona, ES","Bologna, IT",22,831.32
"Barcelona, ES","Southampton, GB",2,1105.23
"Barcelona, ES","Strasbourg, FR",4,915.53
"Barcelona, ES","Riga, LV",5,2341.7699999999995
"Barcelona, ES","Amsterdam, NL",72,1241.1400000000003
"Barcelona, ES","Stuttgart, DE",17,994.6600000000001
"Barcelona, ES","Düsseldorf, DE",19,1167.41
"Barcelona, ES","Berlin, DE",37,1502.44
"Barcelona, ES","Bristol, GB",15,1179.64
"Barcelona, ES","Prague, CZ",22,1358.0299999999997
"Barcelona, ES","Luxembourg, LU",13,980.33
"Barcelona, ES","Liverpool, GB",5,1388.29
"Barcelona, ES","Lisbon, PT",52,994.0
"Barcelona, ES","Balice, PL",20,1679.8399999999997
"Barcelona, ES","Santiago de Compostela, ES",15,883.25
"Barcelona, ES","Oslo (Gardermoen), NO",9,2190.3
"Barcelona, ES","Melilla, ES",2,800.13
"Barcelona, ES","Helsinki (Vantaa), FI",6,2628.15
"Barcelona, ES","Charleroi, BE",10,1035.47
"Barcelona, ES","Granada, ES",9,680.14
"Barcelona, ES","Beauvais, FR",5,907.05
"Barcelona, ES","Edinburgh, GB",13,1676.5800000000002
"Barcelona, ES","Birmingham, West Midlands, GB",19,1273.75
"Barcelona, ES","Segrate (MI), IT",12,741.9700000000001
"Barcelona, ES","Nantes, FR",19,714.2400000000001
"Barcelona, ES","Valletta, MT",13,1235.97
"Barcelona, ES","Marignane, Bouches-du-Rhône, FR",9,350.62000000000006
"Barcelona, ES","Larnaca, CY",3,2834.7100000000005
"Barcelona, ES","Culleredo, ES",18,887.68
"Barcelona, ES","La Virgen Del Camino, ES",5,655.2
"Barcelona, ES","Colombier-Saugnieu, Rhône, FR",14,549.0
"Barcelona, ES","Gdańsk, PL",1,1890.94
"Barcelona, ES","Almería, ES",11,626.44
"Barcelona, ES","Hamburg, DE",12,1485.59
"Barcelona, ES","Leeds, West Yorkshire, GB",4,1424.93
"Barcelona, ES","Vilnius, LT",7,2258.08
"Barcelona, ES","Rotterdam, NL",7,1198.75
"Barcelona, ES","Frankfurt am Main (Lautzenhausen), DE",5,1042.17
"Barcelona, ES","Hannover, DE",3,1367.5999999999997
"Barcelona, ES","Jerez de la Frontera, ES",4,865.72
"Barcelona, ES","Capannori (LU), IT",8,750.3
"Barcelona, ES","Cork, IE",2,1420.74
"Barcelona, ES","Stockholm, SE",11,2301.82
"Barcelona, ES","Caselle (VR), IT",5,844.8399999999999
"Barcelona, ES","Falconara Marittima (AN), IT",2,960.08
"Barcelona, ES","Tallinn, EE",4,2554.7
"Barcelona, ES","Salzburg, AT",2,1125.71
"Barrow-in-Furness, GB","Farnborough, Hampshire, GB",9,358.84
"Barrow-in-Furness, GB","Bristol, GB",8,307.61
"Barrow-in-Furness, GB","Nottingham, Leicestershire, GB",5,193.08
"Bastia, FR","Paris, FR",3,935.36
"Beauvais, FR","Porto, PT",20,1240.2000000000003
"Beauvais, FR","Budapest, HU",8,1269.75
"Beauvais, FR","Poznań, PL",3,1080.06
"Beauvais, FR","Pisa (PI), IT",5,900.28
"Beauvais, FR","Balice, PL",8,1268.1600000000003
"Beauvais, FR","Vilnius, LT",2,1676.88
"Beauvais, FR","Orio al Serio (BG), IT",8,707.95
"Beauvais, FR","Palermo, IT",3,1537.0
"Beauvais, FR","Edinburgh, GB",2,810.76
"Beauvais, FR","Seville, ES",5,1484.29
"Beauvais, FR","Valencia, ES",1,1126.85
"Beauvais, FR","Dublin, IE",16,728.76
"Beauvais, FR","Ronchi dei Legionari/Trieste, IT",2,940.49
"Beauvais, FR","Faro, PT",3,1603.08
