icao,callsign,count
484c52,KLM1753,2
485875,KLM49F,1
4852f4,KLM49K,1
486953,KLM37Y,1
486495,KLM49K,1
484b32,KLM49F,1
484162,KLM83A,1
4868a6,KLM37Y,1
44034b,EJU97EY,1
344698,VLG7HQ,1
4ac8cc,EUW9840,2
4868ba,TRA60J,1
4cadba,RYR66SP,2
4867eb,TRA36M,1
48663e,TRA17H,1
4cad54,RYR66SP,1
4853d4,TRA36M,1
4868b9,TRA60J,1
34560d,VLG45HH,3
4866e0,TRA17H,1
346088,VLG7HQ,1
440172,EJU97EY,2
484186,TRA60J,1
484131,KLM33A,1
4854c7,TRA17H,1
48c2b9,RYR66SP,1
4868e2,TRA17H,1
4854cf,TRA36M,1
345642,VLG7HQ,1
440172,EJU45DX,1
4cae63,RYR66SP,1
346088,VLG45HH,1
485123,TRA60J,1
4cae96,RYR8KJ,1
4866de,TRA15H,1
48415e,KLM33A,1
440735,EJU97EY,1
345646,VLG7HQ,1
4841a6,KLM33A,1
48520d,TRA4K,1
48ea4d,RYR66SP,1
344691,VLG45HH,1
4867eb,TRA60J,1
4d207c,RYR66SP,1
4866de,TRA60J,1
4d2302,RYR8KJ,1
4868b9,TRA17H,1
345646,VLG45HH,1
440c38,EJU45DX,1
3c4dc4,DLH4A,1
4852f5,KLM1817,1
3c6585,DLH3A,1
3009b8,DLA1A,1
3c1aeb,KLM57D,2
4855d2,KLM1821,1
3c6583,DLH9A,1
3c6589,DLH3A,1
3009b3,DLA1A,1
485814,KLM53T,1
485779,KLM1817,1
4852f5,KLM1821,1
3c658d,DLH5A,2
3c6585,DLH9A,1
3c4dcb,DLH4A,1
71be24,KAL517,1
3c01c3,KLM57D,1
3c644a,DLH3A,1
3c4dc6,DLH9A,1
8965b9,UAE9903,1
3009b7,DLA1A,1
4852f5,KLM53T,1
3cf571,PAV604,1
485207,KLM1821,1
3c6448,DLH4A,1
3c5db0,KLM57D,3
485871,KLM1817,1
485206,KLM1817,1
3c1459,KLM57D,1
48548d,KLM1821,1
3c6445,DLH3A,1
4855d2,KLM53T,1
3c6655,DLH9A,1
486492,KLM1817,1
780a1d,CPA2066,1
3c66e1,DLH9A,1
3c6441,DLH5A,1
3009b2,DLA1A,2
3c4dcc,DLH4A,1
484bd1,KLM1821,1
847517,NCA055,1
3e52f8,MCK311,3
896614,UAE9388,1
3c6584,DLH4A,1
3c5db0,KLM1821,2
3c4dd7,DLH9A,1
484c53,KLM95Y,1
485873,KLM1817,1
3006b5,DLA1A,1
4855d1,KLM53T,1
3c66ea,DLH5A,1
3c4dd4,DLH3A,1
3c6585,DLH4A,1
4855d2,KLM95Y,1
3c6637,DLH5A,1
4853f4,KLM53T,1
485874,KLM1817,1
3c6444,DLH9A,1
4d0265,FYL52EK,1
4d0265,FYL54EK,1
484966,KLM23M,3
484160,KLM79B,1
4863db,KLM99B,1
48455d,KLM79B,1
48455d,KLM23M,1
484f06,KLM23M,2
484133,KLM99B,1
48415f,KLM23M,1
484fde,KLM79B,1
48418a,KLM79B,1
484442,KLM79B,1
484162,KLM99B,1
48418c,KLM99B,1
484cb7,KLM79B,1
484966,KLM61R,2
3c6d43,KLM95V,6
440c35,EJU7981,1
486803,KLM1331,1
484f06,KLM61R,1
4864ee,KLM1331,2
4864ec,KLM77H,1
4864ed,KLM77H,1
486802,KLM1331,2
484cb7,KLM61R,1
486495,KLM77H,1
44034b,EJU7981,1
48548c,KLM77H,1
484b8f,KLM61R,1
486802,KLM1329,1
4864ea,KLM1331,1
4868a6,KLM61R,1
485873,KLM1329,1
485778,KLM77H,1
486484,KLM1331,1
4cada8,ITY121,1
48418c,KLM89Q,1
48415e,KLM99D,1
48418a,KLM33J,1
4864ee,KLM39K,1
4ca81d,EJU61EY,1
4ca81d,EJU96XU,2
440c35,EJU54RD,1
300a3a,ITY113,1
484166,KLM1597,1
484160,KLM33J,1
44034b,EJU54RD,3
484b90,KLM99D,1
300a3b,ITY113,1
484162,KLM1597,1
484132,KLM89Q,1
4caf1e,ITY121,2
486495,KLM39K,2
485e32,FYG83GW,1
484166,KLM33J,1
4caf1d,ITY121,1
484165,KLM89Q,1
440735,EJU54RD,1
4cae12,ITY113,1
484cb7,KLM99D,1
484cb4,KLM1597,1
48418c,KLM33J,2
4caefe,ITY113,2
4caefe,ITY121,1
486954,KLM39K,1
4ca85b,EJU61EY,2
484ee4,KLM89Q,1
484132,KLM1597,1
486802,KLM99D,1
486741,KLM89Q,1
486492,KLM39K,1
486953,KLM99D,1
440172,EJU54RD,1
4caab4,ITY121,1
4ca85b,EJU96XU,2
484556,KLM33J,1
4caf1c,ITY113,1
484f18,KLM1597,1
48415e,KLM1597,1
484130,KLM89Q,1
486495,KLM99D,2
4864ea,KLM39K,1
4cade8,ITY121,1
485e31,FYG23W,1
4ca82e,EJU61EY,1
4406f0,EJU61EY,1
4400b3,EJU54RD,1
48415e,KLM39K,1
484558,KLM89Q,1
484161,KLM33J,1
484fdf,KLM1597,1
4cadea,ITY113,1
484130,KLM1145,1
4cad7c,EIN611,3
4d2519,RYR5506,1
4d220c,RYR59JE,1
4d225e,RYR12UM,2
484165,KLM63W,3
4cad28,RYR5299,1
4d228a,RYR71RJ,1
4ca92d,EIN60Y,1
4ca281,EIN605P,1
484f18,KLM43Y,1
4ca837,EIN603,1
4cadf8,RYR85GU,1
4d224c,RYR59JE,1
484fdf,KLM1135,1
4d225d,RYR12UM,1
4ca63a,EIN60Y,1
4ca27f,EIN605P,1
48c1a7,RYR71RJ,1
484442,KLM1145,1
486741,KLM43Y,2
4ca63b,EIN603,1
4864ea,KLM1135,1
4d2235,RYR85GU,1
4ca2cb,EIN603,1
4cad7a,EIN611,1
48c139,RYR85GU,1
4cad3f,RYR12UM,1
