id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,nut3_code,node_type,node_degree,out_flights_number,in_flights_number
"Vila Baleira, PT",Vila Baleira,PT,PT-30,33.0733985901,-16.3500003815,LPPS,1,,,7,3,4
"Timişoara, RO",Timişoara,RO,RO-TM,45.809898,21.3379,LRTR,1,,,93,70,23
"Samedan, CH",Samedan,CH,CH-GR,46.5341,9.88411,LSZS,1,,,33,0,33
"Eskişehir, TR",Eskişehir,TR,TR-26,39.811644,30.519268,LTBY,1,,,4,1,3
"Skellefteå, SE",Skellefteå,SE,SE-AC,64.62480163574219,21.076900482177734,ESNS,1,,,56,24,32
"Agno, CH",Agno,CH,CH-TI,46.004299,8.91058,LSZA,1,,,35,16,19
"Locarno, CH",Locarno,CH,CH-TI,46.160801,8.87861,LSZL,1,,,8,7,1
"Colombier-Saugnieu, Rhône, FR","Colombier-Saugnieu, Rhône",FR,FR-ARA,45.725996,5.090139,LFLL,1,,,1194,590,604
"Bern, CH",Bern,CH,CH-BE,46.912736,7.498819,LSZB,1,,,152,79,73
"Vigo, ES",Vigo,ES,ES-GA,42.2318,-8.62677,LEVX,1,,,75,60,15
"Angers, FR",Angers,FR,FR-PDL,47.560299,-0.312222,LFJR,1,,,9,4,5
"El Matorral, ES",El Matorral,ES,ES-CN,28.4527,-13.8638,GCFV,1,,,20,12,8
"Jyväskylän Maalaiskunta, FI",Jyväskylän Maalaiskunta,FI,FI-08,62.399502,25.678301,EFJY,1,,,39,20,19
"Bergen, NO",Bergen,NO,NO-46,60.2934,5.21814,ENBR,1,,,975,484,491
"Kidlington, Oxfordshire, GB","Kidlington, Oxfordshire",GB,GB-ENG,51.836899,-1.32,EGTK,1,,,82,36,46
"Sylt, DE",Sylt,DE,DE-SH,54.9132,8.34047,EDXW,1,,,29,17,12
"Dole, FR",Dole,FR,FR-BFC,47.038955,5.427589,LFGJ,1,,,14,8,6
"Liverpool, GB",Liverpool,GB,GB-ENG,53.334863,-2.849637,EGGP,1,,,533,270,263
"Saint-Jacques-de-la-Lande, Ille-et-Vilaine, FR","Saint-Jacques-de-la-Lande, Ille-et-Vilaine",FR,FR-BRE,48.0695,-1.73479,LFRN,1,,,146,71,75
"Poprad, SK",Poprad,SK,SK-PV,49.070994,20.241394,LZTT,1,,,20,10,10
"Ranón, ES",Ranón,ES,ES-AS,43.563599,-6.03462,LEAS,1,,,108,101,7
"Seville, ES",Seville,ES,ES-AN,37.417999,-5.89311,LEZL,1,,,1063,525,538
"Broughton, GB",Broughton,GB,GB-WLS,53.178101,-2.97778,EGNR,1,,,47,24,23
"Donegal, IE",Donegal,IE,IE-DL,55.0442008972168,-8.340999603271484,EIDL,1,,,10,4,6
"Grâce-Hollogne, BE",Grâce-Hollogne,BE,BE-WLG,50.638574,5.443897,EBLG,1,,,195,105,90
"Røros, NO",Røros,NO,NO-50,62.578399658203,11.342300415039,ENRO,1,,,11,10,1
"Chambéry, FR",Chambéry,FR,FR-ARA,45.6381,5.88023,LFLB,1,,,274,153,121
"Grenoble, FR",Grenoble,FR,FR-ARA,45.3629,5.32937,LFLS,1,,,247,124,123
"Kiel, DE",Kiel,DE,DE-SH,54.37957,10.145266,EDHK,1,,,18,8,10
"Southampton, GB",Southampton,GB,GB-ENG,50.950298,-1.3568,EGHI,1,,,229,114,115
"Oulu / Oulunsalo, FI",Oulu / Oulunsalo,FI,FI-14,64.930099,25.354601,EFOU,1,,,109,54,55
"Friedrichshafen, DE",Friedrichshafen,DE,DE-BW,47.671299,9.51149,EDNY,1,,,115,57,58
"Capua, IT",Capua,IT,IT-72,41.116001,14.178,LIAU,1,,,11,0,11
"Cascais, PT",Cascais,PT,PT-11,38.724998,-9.35523,LPCS,1,,,73,38,35
"Erzurum, TR",Erzurum,TR,TR-25,39.956501,41.1702,LTCE,1,,,1,1,0
"Newquay, GB",Newquay,GB,GB-ENG,50.440601,-4.99541,EGHQ,1,,,83,42,41
"Jasionka, PL",Jasionka,PL,PL-PK,50.109791,22.024155,EPRZ,1,,,150,82,68
"Lublin, PL",Lublin,PL,PL-LU,51.240157,22.713461,EPLB,1,,,19,11,8
"Łódź, PL",Łódź,PL,PL-LD,51.721901,19.3981,EPLL,1,,,54,25,29
"Capannori (LU), IT",Capannori (LU),IT,IT-52,43.825825,10.577928,LIQL,1,,,52,1,51
"Brno, CZ",Brno,CZ,CZ-JM,49.151276,16.693972,LKTB,1,,,60,31,29
"Strasbourg, FR",Strasbourg,FR,FR-GES,48.5383,7.62823,LFST,1,,,141,72,69
"Uherské Hradiště, CZ",Uherské Hradiště,CZ,CZ-ZL,49.0294,17.439699,LKKU,1,,,8,5,3
"Visby, SE",Visby,SE,SE-I,57.6628,18.346201,ESSV,1,,,20,5,15
"Comiso, IT",Comiso,IT,IT-82,36.99583,14.60889,LICB,1,,,47,23,24
"Alexandroupolis, GR",Alexandroupolis,GR,GR-A,40.8559,25.956301,LGAL,1,,,53,14,39
"Montichiari (BS), IT",Montichiari (BS),IT,IT-25,45.428902,10.3306,LIPO,1,,,34,8,26
"Bodø, NO",Bodø,NO,NO-18,67.269203,14.3653,ENBO,1,,,287,144,143
"Lisbon, PT",Lisbon,PT,PT-11,38.7813,-9.13592,LPPT,1,,,2198,1194,1004
"Chassieu, Lyon, FR","Chassieu, Lyon",FR,FR-ARA,45.727947,4.943991,LFLY,1,,,80,43,37
"Paphos, CY",Paphos,CY,CY-06,34.717999,32.485699,LCPH,1,,,110,20,90
"Biarritz, FR",Biarritz,FR,FR-NAQ,43.468372,-1.523223,LFBZ,1,,,105,60,45
"Jerez de la Frontera, ES",Jerez de la Frontera,ES,ES-AN,36.744598,-6.06011,LEJR,1,,,65,31,34
"Nuremberg, DE",Nuremberg,DE,DE-BY,49.498699,11.078056,EDDN,1,,,416,206,210
"Piešťany, SK",Piešťany,SK,SK-TA,48.62519836425781,17.828399658203125,LZPP,1,,,6,2,4
"Prague, CZ",Prague,CZ,CZ-PR,50.100874,14.259911,LKPR,1,,,1700,846,854
"Kaunas, LT",Kaunas,LT,LT-KU,54.963965,24.08582,EYKA,1,,,129,65,64
"Stuttgart, DE",Stuttgart,DE,DE-BW,48.689899,9.22196,EDDS,1,,,900,441,459
"Mehamn, NO",Mehamn,NO,NO-56,71.029701,27.8267,ENMH,1,,,3,3,0
"Montpellier/Méditerranée, FR",Montpellier/Méditerranée,FR,FR-OCC,43.576199,3.96301,LFMT,1,,,166,107,59
"Nowe Kramsko, PL",Nowe Kramsko,PL,PL-LB,52.1385,15.7986,EPZG,1,,,16,8,8
"Gaziemir, TR",Gaziemir,TR,TR-35,38.2924,27.157,LTBJ,1,,,169,146,23
"Busevec, HR",Busevec,HR,HR-01,45.647499,16.124399,LDZB,1,,,27,13,14
"Hradec Králové, CZ",Hradec Králové,CZ,CZ-KR,50.253201,15.8452,LKHK,1,,,9,5,4
"Wiener Neustadt, AT",Wiener Neustadt,AT,AT-3,47.8401165,16.2409685,LOAN,1,,,15,4,11
"L'Hôpital-le-Mercier, Saône-et-Loire, FR","L'Hôpital-le-Mercier, Saône-et-Loire",FR,FR-BFC,46.414019,4.014177,LFLN,1,,,14,6,8
"Manching, DE",Manching,DE,DE-BY,48.7156982421875,11.534000396728516,ETSI,1,,,20,11,9
"Venegono Superiore (VA), IT",Venegono Superiore (VA),IT,IT-25,45.742199,8.888233,LILN,1,,,7,4,3
"Charmeil, Allier, FR","Charmeil, Allier",FR,FR-ARA,46.16969,3.403637,LFLV,1,,,21,0,21
"Nantes, FR",Nantes,FR,FR-PDL,47.153198,-1.61073,LFRS,1,,,671,326,345
"Marignane, Bouches-du-Rhône, FR","Marignane, Bouches-du-Rhône",FR,FR-PAC,43.438088,5.2125,LFML,1,,,1065,541,524
